trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-39.092257217955535,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,6,-30.338005123915348,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-5.7444825215291395,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,5.392148714061291,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-38.64074586400163,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-83.67904077043899,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,3,-40.60103878409319,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,12,-16.52943540618637,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-96.49970499571802,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,6,10.512536485836167,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-58.76668227453911,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-98.35907769410751,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-63.13504396580562,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-61.87706439260338,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-61.672781660638265,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-97.23226077149921,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,9,17.189766529426567,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-59.45953129781454,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,6,-26.511886818134098,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-47.373474834908286,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,6,-32.353688458780425,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-5.629641895588036,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-23.540108644772083,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,2,-74.96302627973026,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,12,-51.445589067565834,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-66.88070037030148,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,10,-44.82057304696033,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,12,-11.39509783663351,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-64.56193434568439,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,10,-35.54072003307911,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-113.26765721509909,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,3,-128.88152744218738,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 2}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-76.04138089846093,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,6,-78.45825363972692,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,10,3.974260014323203,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-6.470484079747015,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-104.99315351334785,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,6,-61.82498276576771,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-35.12525836837659,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,7,-30.248406017948106,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,9,-37.65888196128549,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-5.641290257759996,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,13,11.61581585743253,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
