trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-71.54176399522981,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-53.38829814497808,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-40.27701708303327,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-31.379388354804178,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-17.390979051859823,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-44.464060095708454,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,16,8.143737256521398,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-23.636473498791574,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-73.75623597192583,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,1,-70.44267114991895,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-52.17919616458314,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-76.27678046043583,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-115.2751807261495,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-41.21074103198399,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-51.42380901742913,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-35.68805158388102,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-48.2796315556137,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-100.06708512604335,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-26.98543116593918,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,1,-64.7968571932758,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-68.3304409386865,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-53.9317145392988,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-30.97457083613481,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-54.37953394341454,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-71.14280030936852,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-74.71018687102121,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,9,11.819279148457005,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,10,-13.132764965832079,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-48.496772115613325,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,6,-66.47715683228269,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-69.39654302139117,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,9,3.7866074470508555,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-55.53509641301406,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,2,-34.47457273532297,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,12,-54.7018648275114,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-33.071856718293844,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,10,-16.316844500203192,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-30.032784387237495,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-59.439167735386086,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,12,-18.10559778428458,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-10.003708700366136,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,2,-74.9161957779129,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,11,-4.971725294136764,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-48.29971414174909,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-66.3598662289085,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
